mu_g;sdmu_g;survival_scalar1;init_asoc;init_amat;sdmu_b;init_agen;sdmu_a;mu_dp;np;gmax;bmin;amin;nc;amax;sigmoidal_survival;mu_agen;bmax;seed;mu_asoc;init_bmat_phen;sdsoc;survival_scalar0;qmat;qjuv;gmin;init_dp;mu_bmat_envt;mu_bmat_phen;init_ajuv;nloci_g;mu_ajuv;p;mu_dc;sdmat;init_dc;init_g;m;mu_amat;init_bmat_envt;laplace;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;125669957;0.01;0;0.05;0.8;0.5;0.5;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.50985;0.510546;0.0979897;0.0735424;0.0854098;0.0989117;-0.517724;1.77638;3.24242;-4.37102;-0.52104;2611.79;2619.08;129.329;76.0258;40000;140.636;128469;173967;253360;250054;7425.9;0.4875;0.790894;0.806607;0.000836024;0.000780794;./sim_cue_integration_17_8_2019_230647_142579395
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;127304498;0.01;0;0.05;0.8;1;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.518797;0.495142;0.507941;0.0936811;1.86309;0.162007;0.890629;7.3181;4.34247;-7.12889;-1.87637;3184.24;2939.19;2622.17;117.504;39996.5;363.336;102116;553519;282933;552667;14247.8;0.5225;0.853763;0.860376;0.0218226;0.0208161;./sim_cue_integration_17_8_2019_230647_142575932
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;127168849;0.01;0;0.05;0.8;0.5;1;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.508923;0.508382;0.10543;0.0625909;0.091642;0.100131;-2.95884;0.326827;0.31952;-5.67318;-0.525199;2601.84;2597.25;150.415;57.4842;40000;146.139;198797;65319.2;147138;370067;7356.54;0.4375;0.791673;0.806581;0.000809682;0.00079299;./sim_cue_integration_17_8_2019_230647_142692286
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;124275197;0.01;0;0.05;0.8;0.5;1;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.509068;0.510675;0.0907463;0.0664991;0.0844255;0.0903753;-0.10352;0.0359742;2.43062;-4.81798;-0.483679;2602.45;2618.85;113.848;66.9203;40000;125.522;184716;59764.7;199348;327444;7552.55;0.4875;0.790133;0.807861;0.000748449;0.00070192;./sim_cue_integration_17_8_2019_230647_143098319
0.01;0.25;0;0;0;0.25;0;0.02;0.01;10;1;-10;0;10;8;0;0.01;10;126610350;0.01;0;0.05;0.8;0.5;0.5;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.5;0.01;0;1;49990;0.505137;0.530042;0.479422;0.0736207;0.100364;1.78222;-0.892712;-0.123062;-0.732266;-8.83025;-1.7879;2908.37;3530.97;2352.22;75.0971;40000;31934.1;83758.3;81747.2;10896.6;784939;13375.7;0.495;0.81524;0.841417;0.0203124;0.017539;./sim_cue_integration_17_8_2019_230647_144301875
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;130663226;0.01;0;0.05;0.8;1;0.9;-1;0;0.01;0.01;0;3;0.01;0.1;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.50373;0.527704;0.58812;0.0381454;1.52448;0.873857;-0.5158;7.73732;0.0223319;-8.19065;-1.88027;3071.39;3415.95;3501.39;25.4433;39997.7;7758.52;127448;615366;173841;685373;14224.3;0.495;0.831271;0.86651;0.0280702;0.0221265;./sim_cue_integration_17_8_2019_230647_145495924
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;133665762;0.01;0;0.05;0.8;0.5;0.5;-1;0;0.01;0.01;0;3;0.01;0.9;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.504587;0.504126;0.707331;0.094353;0.102125;2.47326;-2.89212;-3.02245;0.224171;8.65137;-1.77934;3156.21;3292.02;5060.94;122.434;40000;61294.9;174251;213814;174389;755419;13412.2;0.4875;0.862148;0.859454;0.0233304;0.0248638;./sim_cue_integration_17_8_2019_230647_147089472
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;130857925;0.01;0;0.05;0.8;0.5;0.9;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.1;0.01;0;1;49990;0.512148;0.511926;0.104159;0.0702097;0.109725;0.101595;3.6691;-5.64644;4.37192;-2.00165;-0.570423;2637.82;2635.25;146.77;71.9044;40000;147.294;196533;441056;311261;227430;7513.43;0.515;0.789482;0.808366;0.00100022;0.000897941;./sim_cue_integration_17_8_2019_230647_152286315
0.01;0.25;0;0;0;0.25;0;0.02;0.01;2;1;-10;0;0;8;0;0.01;10;154775905;0.01;0;0.05;0.8;0.9;1;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.510627;0.512862;0.0994393;0.0798168;0.0911863;0.104073;0.557722;-0.943815;4.54846;-4.33406;-0.50715;2621.55;2645.35;141.124;92.1894;40000;151.033;106060;128219;270931;274815;7402.76;0.5225;0.787962;0.809619;0.000954103;0.000903832;./sim_cue_integration_17_8_2019_230647_171455555
0.01;0.25;0;0;0;0.25;0;0.02;0.01;1;1;-10;0;0;8;0;0.01;10;163742090;0.01;0;0.05;0.8;0.5;1;-1;0;0.01;0.01;0;3;0.01;0.5;0.01;0.05;0;0;0.9;0.01;0;1;49990;0.515759;0.51452;0.0803587;0.0752001;0.0858753;0.0973042;4.14784;-1.38986;-4.9029;-2.06014;-0.433336;2671.41;2658.78;92.417;81.8532;40000;135.672;258188;155394;297107;202334;7476.67;0.51;0.787418;0.810538;0.000790572;0.000713399;./sim_cue_integration_17_8_2019_230647_178812752
