sigmoidal_survival;laplace;p;qmat;qjuv;nloci_g;init_g;init_amat;init_ajuv;init_agen;init_bmat_phen;init_bmat_envt;gmin;gmax;amin;amax;bmin;bmax;sdmat;mu_g;sdmu_g;mu_amat;mu_ajuv;mu_agen;mu_bmat_phen;mu_bmat_envt;sdmu_a;sdmu_b;m;survival_scalar0;survival_scalar1;seed;generation;mean_ad_phen;mean_agen;mean_ajuv;mean_amat;mean_bmat_phen;mean_bmat_envt;mean_g;var_ad_phen;var_agen;var_ajuv;var_amat;var_bmat_phen;var_bmat_envt;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;1;0.7;1;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;716842422;49990;0.505492;0.231094;0.890951;0.0835805;0.582324;5.78515;-2.02587;2695.04;544.544;8000.93;40000;17776.5;378626;15667.8;0.5175;0.815665;0.82065;0.0081075;0.0079099;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180312_706522285
0;1;0.4;1;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1327385315;49990;0.504777;0.0384233;0.0235667;0.0419745;-1.45018;2.20808;-0.315331;2549.23;22.4392;10.5033;40000;97255.6;75660.5;6775.68;0.5575;0.795519;0.803989;9.67997e-05;9.45411e-05;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1301778941
0;1;0.4;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1287621811;49990;0.501825;0.0409156;0.013003;0.040933;0.343037;-0.394534;-0.486072;2519.5;26.3738;3.41736;40000;32976.9;10888.8;7257.37;0.5325;0.798237;0.800949;9.50263e-05;9.54183e-05;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193330_1299406416
0;1;0.1;0.9;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;9732971;49990;0.50768;0.292709;0.00864798;1.42021;-2.8948;5.69708;-2.2931;2845.08;865.629;2.15755;39998;99757.4;348093;18837.5;0.4775;0.813657;0.840725;0.0159813;0.0136183;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180321_20171228
0;1;0.7;1;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;2086004318;49990;0.502047;0.23385;0.929764;0.115911;1.20279;2.15276;-2.17613;2670.13;557.199;8669.07;40000;36747.3;50522.5;17298.7;0.495;0.808198;0.819135;0.00924536;0.00864606;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_192259_2076787492
0;1;0.3;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;389552882;49990;0.501937;0.0419042;0.0101608;0.0634995;3.04451;1.60853;-0.70865;2521.12;25.2343;2.74278;40000;131875;42743.9;8763.26;0.4725;0.798282;0.800904;0.000120715;0.0001219;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193559_399864417
0;1;0.1;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1094605746;49990;0.523307;0.30088;0.00790612;1.38927;-1.80338;6.745;-2.25628;2997.54;914.292;1.68227;39998.1;42815.5;462738;18229.8;0.525;0.828891;0.843656;0.014342;0.0127737;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1079806980
0;1;0.1;0.9;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1473034174;49990;0.513729;0.306006;0.0451707;1.43124;-1.59958;5.87709;-2.22658;2917.98;943.551;30.4692;39998;71179.1;355690;17854.2;0.5025;0.821323;0.852667;0.0156784;0.0124068;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_191144_1484825173
0;1;0.4;0.9;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1304161891;49990;0.504244;0.0564842;0.0447122;0.0881709;0.287975;3.47101;-0.863415;2546.41;43.1263;28.8278;40000;25881.1;132324;9858.65;0.505;0.795784;0.803321;0.000273667;0.000256022;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1291841768
0;1;0;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;77908488;49990;0.502421;0.0402611;0.00636063;0.0502118;1.40146;0.275021;-0.390828;2525.38;24.1137;1.2619;40000;36469.1;10570.9;7843.02;1;0.796646;-nan;9.13545e-05;-nan;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180312_67191094
0;1;0;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;150364974;49990;0.817399;0.575405;0.0123114;3.20508;-9.22717;0.954638;-2.66277;6695.96;3329.11;3.48654;39989.7;853418;10338.3;24174.5;1;0.965;-nan;0.00026514;-nan;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_190729_140659268
0;1;0.3;0.9;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1154006211;49990;0.506742;0.105678;0.0142503;0.295519;0.164047;3.81784;-1.23613;2583.83;122.714;4.24004;39999.9;10592.7;151507;9388.46;0.53;0.794925;0.809715;0.00107967;0.000953567;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180311_1141952708
0;1;0.6;0.9;0.9;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1214791282;49990;0.503127;0.139393;0.394704;0.0645809;-0.737802;-1.08179;-1.56745;2564.63;216.135;1591;40000;79201.1;34290.2;11442.5;0.525;0.804512;0.802429;0.00206461;0.00213195;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180316_1202679001
0;1;0.3;0.5;0.5;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;1233832823;49990;0.502785;0.041299;0.0441507;0.0363127;-0.633304;-0.0566488;-0.698574;2529.67;26.3296;27.0098;40000;20548.3;17844.6;7719.83;0.4675;0.797642;0.802274;0.000129446;0.000127982;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180324_1217565529
0;1;0.4;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;95491443;49990;0.502478;0.0447161;0.0157067;0.0450581;0.407559;1.36407;-0.467945;2526.5;33.1287;5.57267;40000;16499.2;41813.6;7249.81;0.535;0.797712;0.801643;0.000117744;0.000123264;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193659_105452072
0;1;0.3;0.9;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;2049071587;49990;0.506995;0.0974225;0.0115358;0.219293;-1.29399;4.41025;-0.861024;2581.5;115.16;2.98601;40000;33649;202244;6600.63;0.525;0.795112;0.808756;0.00072446;0.000699744;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_193614_2040462827
0;1;0.6;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;969932206;49990;0.507281;0.13355;0.465121;0.0302833;0.542444;-1.40249;-1.7041;2612.87;186.509;2187.29;40000;21900.2;33688.2;12853.8;0.48;0.804176;0.807092;0.00250034;0.00246977;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180312_959954711
0;1;1;0.5;1;3;0;0;0;0;0;0;-1;1;0;8;-10;10;0.05;0.001;0.25;0.001;0.001;0.001;0.001;0.001;0.02;0.25;0.1;0.8;0;151040312;49990;0.988972;1.22061;1.34379;0.945289;5.94555;0.437611;2.07288;9780.48;15002.7;18199;39999.1;393958;15253.1;16547.9;1;-nan;0.999835;-nan;2.38988e-07;hpcbatch_15_08_2019_180243/sim_cue_integration_15_8_2019_180400_140506994
