init_g;mu_g;mu_bmat_envt;mu_dp;laplace;gmin;init_bmat_phen;qjuv;qmat;m;sdmu_b;init_amat;bmin;survival_scalar1;np;nloci_g;nc;mu_agen;sdmat;amax;mu_dc;sdsoc;gmax;sigmoidal_survival;seed;init_dp;sdmu_g;init_bmat_envt;mu_asoc;survival_scalar0;init_ajuv;bmax;init_asoc;p;init_agen;mu_bmat_phen;mu_ajuv;amin;sdmu_a;mu_amat;init_dc;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;0.01;0.01;0.01;1;-1;0;0.5;0.517241;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;91593691;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.485526;0.479123;0.683359;0.100103;0.0873249;2.43982;-1.80511;1.48123;5.17725;8.68462;-1.79056;2943.01;3018.71;4717.67;144.248;40000;59668.6;121558;102259;323770;760357;13522.2;0.47;0.865051;0.853664;0.0220916;0.0260988;./sim_cue_integration_18_8_2019_110207_104971529
0;0.01;0.01;0.01;1;-1;0;1;0.0689655;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;95062459;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.511496;0.517774;0.132673;1.38986;0.104842;0.11969;-2.52508;3.43211;3.8648;2.81528;-0.327621;3518.18;3647.62;247.106;19415.2;40000;203.66;255135;247001;212249;144998;7395.67;0.505;0.875294;0.901361;0.0356886;0.0278844;./sim_cue_integration_18_8_2019_110207_111166233
0;0.01;0.01;0.01;1;-1;0;0.9;0.0344828;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;102558017;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.526608;0.531634;0.471457;0.741871;0.151428;1.34525;-0.562056;-5.22544;-1.32738;8.3609;-1.41359;3561.75;3782.35;2293.87;5594.56;40000;18290.7;176804;330527;213264;709210;10719.8;0.5375;0.859859;0.897542;0.0320932;0.0221654;./sim_cue_integration_18_8_2019_110207_117575613
0;0.01;0.01;0.01;1;-1;0;1;0.103448;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;171483774;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.499948;0.500777;0.126946;1.43158;0.122059;0.118084;1.20935;5.93914;0.425999;0.306066;-0.505085;3414.94;3502.35;222.169;20634.8;40000;188.181;150734;403665;89912.4;168768;7719.4;0.49;0.90205;0.910076;0.0270943;0.0250561;./sim_cue_integration_18_8_2019_110207_193690930
0;0.01;0.01;0.01;1;-1;0;0.9;0.137931;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;204770744;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.517136;0.511761;0.385524;0.911503;0.305107;0.836245;6.05432;-3.89991;-0.064331;8.26374;-1.28258;3404.29;3371.15;1580.68;8393.18;39999.9;7208.29;425067;216941;139950;693798;10277.9;0.51;0.861542;0.867376;0.0291219;0.030221;./sim_cue_integration_18_8_2019_110207_219176449
0;0.01;0.01;0.01;1;-1;0;0.5;0.0344828;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;223667786;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.52185;0.522489;0.65991;0.0770872;0.897415;1.52228;1.44829;-7.9519;-4.12182;8.133;-1.7365;3327.47;3454.89;4407.37;90.0035;39999.2;23383.1;296169;647497;338315;675225;13168.2;0.5225;0.859139;0.878614;0.0233953;0.0194442;./sim_cue_integration_18_8_2019_110207_238379512
0;0.01;0.01;0.01;1;-1;0;0.9;0.172414;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;227350671;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.535959;0.537245;0.379367;0.940307;0.276699;0.770183;6.37029;-3.41667;-2.64631;8.15971;-1.22376;3614.51;3624.16;1544.86;8945.8;39999.9;6191.94;443701;167170;174798;676108;10047.3;0.54;0.85928;0.885276;0.0292157;0.0239935;./sim_cue_integration_18_8_2019_110207_242262422
0;0.01;0.01;0.01;1;-1;0;1;0.206897;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;229014431;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.491387;0.500903;0.1243;1.41463;0.113973;0.126561;2.54853;1.07173;-3.21171;-4.84097;-0.457673;3314.07;3483.52;205.682;20121.6;40000;211.308;235948;109901;268951;291469;7687.57;0.4425;0.887293;0.912083;0.0317423;0.024405;./sim_cue_integration_18_8_2019_110207_245896901
0;0.01;0.01;0.01;1;-1;0;1;0.172414;0.1;0.25;0;-10;0;2;3;0;0.01;0.05;8;0.01;0.05;1;0;249350910;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.493401;0.482679;0.133062;1.37405;0.113857;0.10616;2.53067;3.82188;-3.19625;1.80445;-0.415327;3319.86;3282.01;229.89;18994.8;40000;170.182;168824;229746;265052;154694;7550.33;0.475;0.911156;0.896549;0.0223404;0.0286579;./sim_cue_integration_18_8_2019_110207_263501724
0;0.01;0.01;0.01;1;-1;0;0.9;0.241379;0.1;0.25;0;-10;0;1;3;0;0.01;0.05;8;0.01;0.05;1;0;249887615;0;0.25;0;0.01;0.8;0;10;0;0.9;0;0.01;0.01;0;0.02;0.01;0;49990;0.509593;0.51751;0.409205;0.925277;0.191166;0.959178;6.33935;-4.13754;4.16229;8.13785;-1.22545;3357.1;3454.55;1778.92;8660.88;40000;9342.3;430079;276715;352834;676063;9916.85;0.48;0.86177;0.896021;0.0302334;0.0217021;./sim_cue_integration_18_8_2019_110207_264214559
