amin;amax;mu_amat;gmax;mu_g;gmin;mu_ajuv;init_dp;sigmoidal_survival;nc;m;mu_agen;init_bmat_phen;init_g;laplace;mu_dp;p;init_dc;mu_asoc;seed;sdsoc;init_ajuv;bmax;init_asoc;qmat;qjuv;sdmu_a;sdmat;nloci_g;mu_dc;init_amat;init_agen;init_bmat_envt;survival_scalar1;sdmu_b;bmin;mu_bmat_phen;np;survival_scalar0;sdmu_g;mu_bmat_envt;generation;mean_phen_ad;mean_phen_prestige;mean_agen;mean_ajuv;mean_amat;mean_asoc;mean_bmat_phen;mean_bmat_envt;mean_dc;mean_dp;mean_g;var_phen_ad;var_phen_prestige;var_agen;var_ajuv;var_amat;var_asoc;var_bmat_phen;var_bmat_envt;var_dc;var_dp;var_g;freq_high;mean_surv0;mean_surv1;var_surv0;var_surv1;file
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.15;0;0.01;2087160221;0.05;0;10;0;0.9;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.508508;0.513604;0.332513;0.0260787;0.988235;0.247063;-7.6825;7.14029;0.469383;-8.28948;-1.6794;2751.08;2804.6;1152.51;12.2208;39999;736.233;608918;540757;244851;701840;12654.4;0.5075;0.803607;0.821533;0.0103339;0.00940855;./sim_cue_integration_18_8_2019_110413_2103365990
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.1;0;0.01;2080997600;0.05;0;10;0;0.5;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.523398;0.52042;0.30596;0.0644706;0.0857231;1.28491;-1.83668;1.81648;-4.70356;-9.37946;-1.7654;2812.85;2813.09;971.105;64.7483;40000;16655.4;131698;181738;271509;881700;13422.8;0.4825;0.8074;0.837575;0.00374763;0.00343568;./sim_cue_integration_18_8_2019_110413_2106145644
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.1;0;0.01;2083664813;0.05;0;10;0;1;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.506079;0.525152;0.57884;0.0319825;1.47818;0.877526;-0.636878;6.95836;2.00994;-8.36576;-1.88421;3088.63;3388.21;3392.63;18.3172;39997.8;7880.9;97410.2;505760;238476;707163;14256.6;0.47;0.851083;0.881065;0.0234667;0.0176804;./sim_cue_integration_18_8_2019_110413_2111253566
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.05;0;0.01;2094047674;0.05;0;10;0;1;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.503874;0.529834;0.801586;0.044839;2.19007;1.25727;-2.25706;7.19439;0.0628287;-7.60407;-2.00126;3527.37;3956.61;6499.54;32.5483;39995.2;15995.4;203681;537245;235763;596088;15547.4;0.5;0.884519;0.920678;0.0343927;0.0218673;./sim_cue_integration_18_8_2019_110413_2111442408
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.05;0;0.01;2094282661;0.05;0;10;0;0.5;0.9;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.516611;0.515785;0.0957698;0.0191426;0.0740128;0.196555;-4.41505;-1.35075;-0.343801;-8.00777;-0.652387;2677.63;2668.84;131.69;7.45146;40000;490.829;246364;110016;150319;658800;7657.97;0.5125;0.784118;0.81011;0.000605446;0.000571972;./sim_cue_integration_18_8_2019_110413_2117415331
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.1;0;0.01;2096926321;0.05;0;10;0;0.9;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.520788;0.506171;0.516921;0.0223191;1.27542;0.881038;-4.8072;5.24011;5.32127;-8.56013;-1.93221;3043.43;2908.27;2704.91;9.5153;39998.4;7896.77;314952;305592;373472;741047;14740.7;0.5175;0.835831;0.849731;0.0168458;0.0153292;./sim_cue_integration_18_8_2019_110413_2117509852
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0;0;0.01;2105464950;0.05;0;10;0;1;0.5;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.977825;0.0200276;2.03135;0.204084;5.02336;3.39649;-2.09332;7.34189;3.70718;-8.02567;-1.90583;9567.14;8.34198;41512.9;522.157;39974.8;115557;141073;554439;248432;657768;14523.8;1;0.995864;-nan;0.000312284;-nan;./sim_cue_integration_18_8_2019_110413_2126109485
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.05;0;0.01;2119356522;0.05;0;10;0;0.9;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.522514;0.50377;0.883735;0.0381827;0.833687;2.85104;-6.33496;4.14675;-0.14399;-8.4916;-1.95433;3722.11;3713.85;7874.12;24.7108;39999.3;81492.1;446841;200510;106053;729254;14880.9;0.5175;0.902491;0.909141;0.0259104;0.0259798;./sim_cue_integration_18_8_2019_110413_2137811163
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.2;0;0.01;2119559254;0.05;0;10;0;0.9;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;1;0.8;0.25;0.01;49990;0.518016;0.52053;0.230354;0.0252087;0.686356;0.0997867;-1.92074;6.65626;-2.45383;-7.20963;-1.35001;2766.7;2790.26;572.562;11.7663;39999.5;138.913;155616;480265;202584;546030;10226;0.535;0.792728;0.825736;0.00556063;0.0043932;./sim_cue_integration_18_8_2019_110413_2143629303
0;8;0.01;1;0.01;-1;0.01;0;0;0;0.1;0.01;0;0;1;0.01;0.15;0;0.01;2128897536;0.05;0;10;0;1;1;0.02;0.05;3;0.01;0;0;0;0;0.25;-10;0.01;2;0.8;0.25;0.01;49990;0.514288;0.51206;0.463891;0.0274666;1.00139;0.87382;-3.73263;6.13262;-5.12787;-8.38758;-1.83173;2944.24;2985.29;2196.37;13.2344;39999;7809.38;253683;406632;345162;712121;13895.5;0.4925;0.827832;0.847679;0.0156376;0.0139337;./sim_cue_integration_18_8_2019_110413_2111864522
